system,run,iter,err_standard,err_en
pb2,2,17,4.1382008930668235e-10,3.601599019020796e-10
pb2,2,18,4.1382008930668235e-10,3.601599019020796e-10
pb2,2,19,4.1382008930668235e-10,3.601599019020796e-10
pb2,2,20,4.1382008930668235e-10,3.601599019020796e-10
pb2,3,1,1.400289147568401e-05,3.601599019020796e-10
pb2,3,2,2.5004092094604857e-06,3.601599019020796e-10
pb2,3,3,4.1382008930668235e-10,3.601599019020796e-10
pb2,3,4,4.1382008930668235e-10,3.601599019020796e-10
pb2,3,5,4.1382008930668235e-10,3.601599019020796e-10
pb2,3,6,4.1382008930668235e-10,3.601599019020796e-10
pb2,3,7,4.1382008930668235e-10,3.601599019020796e-10
pb2,3,8,4.1382008930668235e-10,3.601599019020796e-10
pb2,3,9,4.1382008930668235e-10,3.601599019020796e-10
pb2,3,10,4.1382008930668235e-10,3.601599019020796e-10
pb2,3,11,4.1382008930668235e-10,3.601599019020796e-10
pb2,3,12,4.1382008930668235e-10,3.601599019020796e-10
pb2,3,13,4.1382008930668235e-10,3.601599019020796e-10
pb2,3,14,4.1382008930668235e-10,3.601599019020796e-10
pb2,3,15,4.1382008930668235e-10,3.601599019020796e-10
pb2,3,16,4.1382008930668235e-10,3.601599019020796e-10
pb2,3,17,4.1382008930668235e-10,3.601599019020796e-10
pb2,3,18,4.1382008930668235e-10,3.601599019020796e-10
pb2,3,19,4.1382008930668235e-10,3.601599019020796e-10
pb2,3,20,4.1382008930668235e-10,3.601599019020796e-10
pb2,4,1,2.449388375680428e-06,3.601599019020796e-10
pb2,4,2,4.886078386334702e-07,3.601599019020796e-10
pb2,4,3,4.886078386334702e-07,3.601599019020796e-10
pb2,4,4,4.886078386334702e-07,3.601599019020796e-10
pb2,4,5,4.886078386334702e-07,3.601599019020796e-10
pb2,4,6,4.886078386334702e-07,3.601599019020796e-10
pb2,4,7,4.886078386334702e-07,3.601599019020796e-10
pb2,4,8,4.886078386334702e-07,3.601599019020796e-10
pb2,4,9,4.886078386334702e-07,3.601599019020796e-10
pb2,4,10,4.886078386334702e-07,3.601599019020796e-10
pb2,4,11,4.886078386334702e-07,3.601599019020796e-10
pb2,4,12,4.886078386334702e-07,3.601599019020796e-10
pb2,4,13,4.886078386334702e-07,3.601599019020796e-10
pb2,4,14,4.886078386334702e-07,3.601599019020796e-10
pb2,4,15,4.886078386334702e-07,3.601599019020796e-10
pb2,4,16,4.886078386334702e-07,3.601599019020796e-10
pb2,4,17,4.886078386334702e-07,3.601599019020796e-10
pb2,4,18,4.886078386334702e-07,3.601599019020796e-10
pb2,4,19,4.886078386334702e-07,3.601599019020796e-10
pb2,4,20,4.886078386334702e-07,3.601599019020796e-10
pb2,5,1,0.00012026420063193655,0.0007177578891059966
pb2,5,2,9.068317012861371e-07,3.601599019020796e-10
pb2,5,3,4.1382008930668235e-10,3.601599019020796e-10
pb2,5,4,4.1382008930668235e-10,3.601599019020796e-10
pb2,5,5,4.1382008930668235e-10,3.601599019020796e-10
pb2,5,6,4.1382008930668235e-10,3.601599019020796e-10
pb2,5,7,4.1382008930668235e-10,3.601599019020796e-10
pb2,5,8,4.1382008930668235e-10,3.601599019020796e-10
pb2,5,9,4.1382008930668235e-10,3.601599019020796e-10
pb2,5,10,4.1382008930668235e-10,3.601599019020796e-10
pb2,5,11,4.1382008930668235e-10,3.601599019020796e-10
pb2,5,12,4.1382008930668235e-10,3.601599019020796e-10
pb2,5,13,4.1382008930668235e-10,3.601599019020796e-10
pb2,5,14,4.1382008930668235e-10,3.601599019020796e-10
pb2,5,15,4.1382008930668235e-10,3.601599019020796e-10
pb2,5,16,4.1382008930668235e-10,3.601599019020796e-10
pb2,5,17,4.1382008930668235e-10,3.601599019020796e-10
pb2,5,18,4.1382008930668235e-10,3.601599019020796e-10
pb2,5,19,4.1382008930668235e-10,3.601599019020796e-10
pb2,5,20,4.1382008930668235e-10,3.601599019020796e-10
pb2,6,1,1.6860438336152583e-05,0.001455414317206305
pb2,6,2,4.1382008930668235e-10,3.601599019020796e-10
pb2,6,3,4.1382008930668235e-10,3.601599019020796e-10
pb2,6,4,4.1382008930668235e-10,3.601599019020796e-10
pb2,6,5,4.1382008930668235e-10,3.601599019020796e-10
pb2,6,6,4.1382008930668235e-10,3.601599019020796e-10
pb2,6,7,4.1382008930668235e-10,3.601599019020796e-10
pb2,6,8,4.1382008930668235e-10,3.601599019020796e-10
pb2,6,9,4.1382008930668235e-10,3.601599019020796e-10
pb2,6,10,4.1382008930668235e-10,3.601599019020796e-10
pb2,6,11,4.1382008930668235e-10,3.601599019020796e-10
pb2,6,12,4.1382008930668235e-10,3.601599019020796e-10
pb2,6,13,4.1382008930668235e-10,3.601599019020796e-10
pb2,6,14,4.1382008930668235e-10,3.601599019020796e-10
pb2,6,15,4.1382008930668235e-10,3.601599019020796e-10
pb2,6,16,4.1382008930668235e-10,3.601599019020796e-10
pb2,6,17,4.1382008930668235e-10,3.601599019020796e-10
pb2,6,18,4.1382008930668235e-10,3.601599019020796e-10
pb2,6,19,4.1382008930668235e-10,3.601599019020796e-10
pb2,6,20,4.1382008930668235e-10,3.601599019020796e-10
pb2,7,1,6.527566256409045e-06,3.601599019020796e-10
pb2,7,2,2.4546925487811677e-06,3.601599019020796e-10
pb2,7,3,4.1382008930668235e-10,3.601599019020796e-10
pb2,7,4,4.1382008930668235e-10,3.601599019020796e-10
pb2,7,5,4.1382008930668235e-10,3.601599019020796e-10
pb2,7,6,4.1382008930668235e-10,3.601599019020796e-10
pb2,7,7,4.1382008930668235e-10,3.601599019020796e-10
pb2,7,8,4.1382008930668235e-10,3.601599019020796e-10
pb2,7,9,4.1382008930668235e-10,3.601599019020796e-10
pb2,7,10,4.1382008930668235e-10,3.601599019020796e-10
pb2,7,11,4.1382008930668235e-10,3.601599019020796e-10
pb2,7,12,4.1382008930668235e-10,3.601599019020796e-10
pb2,7,13,4.1382008930668235e-10,3.601599019020796e-10
pb2,7,14,4.1382008930668235e-10,3.601599019020796e-10
pb2,7,15,4.1382008930668235e-10,3.601599019020796e-10
pb2,7,16,4.1382008930668235e-10,3.601599019020796e-10
pb2,7,17,4.1382008930668235e-10,3.601599019020796e-10
pb2,7,18,4.1382008930668235e-10,3.601599019020796e-10
pb2,7,19,4.1382008930668235e-10,3.601599019020796e-10
pb2,7,20,4.1382008930668235e-10,3.601599019020796e-10
pb2,8,1,8.97403879207559e-06,3.601599019020796e-10
pb2,8,2,4.886078386334702e-07,3.601599019020796e-10
pb2,8,3,4.1382008930668235e-10,3.601599019020796e-10
pb2,8,4,4.1382008930668235e-10,3.601599019020796e-10
pb2,8,5,4.1382008930668235e-10,3.601599019020796e-10
pb2,8,6,4.1382008930668235e-10,3.601599019020796e-10
pb2,8,7,4.1382008930668235e-10,3.601599019020796e-10
pb2,8,8,4.1382008930668235e-10,3.601599019020796e-10
pb2,8,9,4.1382008930668235e-10,3.601599019020796e-10
pb2,8,10,4.1382008930668235e-10,3.601599019020796e-10
pb2,8,11,4.1382008930668235e-10,3.601599019020796e-10
pb2,8,12,4.1382008930668235e-10,3.601599019020796e-10
pb2,8,13,4.1382008930668235e-10,3.601599019020796e-10
pb2,8,14,4.1382008930668235e-10,3.601599019020796e-10
pb2,8,15,4.1382008930668235e-10,3.601599019020796e-10
pb2,8,16,4.1382008930668235e-10,3.601599019020796e-10
pb2,8,17,4.1382008930668235e-10,3.601599019020796e-10
pb2,8,18,4.1382008930668235e-10,3.601599019020796e-10
pb2,8,19,4.1382008930668235e-10,3.601599019020796e-10
pb2,8,20,4.1382008930668235e-10,3.601599019020796e-10
pb2,9,1,1.5640683159290347e-05,0.0007177578891059966
pb2,9,2,8.792158951109741e-06,3.601599019020796e-10
pb2,9,3,4.1382008930668235e-10,3.601599019020796e-10
pb2,9,4,4.1382008930668235e-10,3.601599019020796e-10
pb2,9,5,4.1382008930668235e-10,3.601599019020796e-10
pb2,9,6,4.1382008930668235e-10,3.601599019020796e-10
pb2,9,7,4.1382008930668235e-10,3.601599019020796e-10
pb2,9,8,4.1382008930668235e-10,3.601599019020796e-10
pb2,9,9,4.1382008930668235e-10,3.601599019020796e-10
pb2,9,10,4.1382008930668235e-10,3.601599019020796e-10
pb2,9,11,4.1382008930668235e-10,3.601599019020796e-10
pb2,9,12,4.1382008930668235e-10,3.601599019020796e-10
pb2,9,13,4.1382008930668235e-10,3.601599019020796e-10
pb2,9,14,4.1382008930668235e-10,3.601599019020796e-10
pb2,9,15,4.1382008930668235e-10,3.601599019020796e-10
pb2,9,16,4.1382008930668235e-10,3.601599019020796e-10
pb2,9,17,4.1382008930668235e-10,3.601599019020796e-10
pb2,9,18,4.1382008930668235e-10,3.601599019020796e-10
pb2,9,19,4.1382008930668235e-10,3.601599019020796e-10
pb2,9,20,4.1382008930668235e-10,3.601599019020796e-10
pb2,10,1,1.0939020285150036e-05,3.601599019020796e-10
pb2,10,2,4.1382008930668235e-10,3.601599019020796e-10
pb2,10,3,4.1382008930668235e-10,3.601599019020796e-10
pb2,10,4,4.1382008930668235e-10,3.601599019020796e-10
pb2,10,5,4.1382008930668235e-10,3.601599019020796e-10
pb2,10,6,4.1382008930668235e-10,3.601599019020796e-10
pb2,10,7,4.1382008930668235e-10,3.601599019020796e-10
pb2,10,8,4.1382008930668235e-10,3.601599019020796e-10
pb2,10,9,4.1382008930668235e-10,3.601599019020796e-10
pb2,10,10,4.1382008930668235e-10,3.601599019020796e-10
pb2,10,11,4.1382008930668235e-10,3.601599019020796e-10
pb2,10,12,4.1382008930668235e-10,3.601599019020796e-10
pb2,10,13,4.1382008930668235e-10,3.601599019020796e-10
pb2,10,14,4.1382008930668235e-10,3.601599019020796e-10
pb2,10,15,4.1382008930668235e-10,3.601599019020796e-10
pb2,10,16,4.1382008930668235e-10,3.601599019020796e-10
pb2,10,17,4.1382008930668235e-10,3.601599019020796e-10
pb2,10,18,4.1382008930668235e-10,3.601599019020796e-10
pb2,10,19,4.1382008930668235e-10,3.601599019020796e-10
pb2,10,20,4.1382008930668235e-10,3.601599019020796e-10
pb3,1,1,0.0019149259123878437,0.8733092047077662
pb3,1,2,0.0003048100061278092,0.0027898690013898886
pb3,1,3,0.00014717406611453043,2.312904871359933e-05
pb3,1,4,0.00011126195659016958,5.250649337540381e-07
pb3,1,5,6.811226103309309e-05,5.250649337540381e-07
pb3,1,6,5.313502242643153e-05,5.250649337540381e-07
pb3,1,7,3.742702028830536e-05,5.250649337540381e-07
pb3,1,8,3.301614378869999e-05,5.250649337540381e-07
pb3,1,9,3.301614378869999e-05,5.250649337540381e-07
pb3,1,10,3.301614378869999e-05,5.250649337540381e-07
pb3,1,11,3.301614378869999e-05,5.250649337540381e-07
pb3,1,12,3.301614378869999e-05,5.250649337540381e-07
pb3,1,13,3.301614378869999e-05,5.250649337540381e-07
pb3,1,14,3.301614378869999e-05,5.250649337540381e-07
pb3,1,15,3.301614378869999e-05,5.250649337540381e-07
pb3,1,16,3.301614378869999e-05,5.250649337540381e-07
pb3,1,17,3.301614378869999e-05,5.250649337540381e-07
pb3,1,18,3.301614378869999e-05,5.250649337540381e-07
pb3,1,19,3.301614378869999e-05,5.250649337540381e-07
pb3,1,20,3.301614378869999e-05,5.250649337540381e-07
pb3,2,1,0.002757029910753772,0.6171712527548152
pb3,2,2,0.0004067882646268117,0.004325913489992672
pb3,2,3,0.00011045509108953411,2.3380011043627746e-05
pb3,2,4,9.70854371189489e-05,7.694998203078285e-07
pb3,2,5,6.487574864877388e-05,7.694998203078285e-07
pb3,2,6,3.952179667976452e-05,7.694998203078285e-07
pb3,2,7,3.214052048861049e-05,7.694998203078285e-07
pb3,2,8,3.214052048861049e-05,7.694998203078285e-07
pb3,2,9,3.214052048861049e-05,7.694998203078285e-07
pb3,2,10,3.214052048861049e-05,7.694998203078285e-07
pb3,2,11,3.214052048861049e-05,7.694998203078285e-07
pb3,2,12,3.214052048861049e-05,7.694998203078285e-07
pb3,2,13,3.214052048861049e-05,7.694998203078285e-07
pb3,2,14,3.214052048861049e-05,7.694998203078285e-07
pb3,2,15,3.214052048861049e-05,7.694998203078285e-07
pb3,2,16,3.214052048861049e-05,7.694998203078285e-07
pb3,2,17,3.214052048861049e-05,7.694998203078285e-07
pb3,2,18,3.214052048861049e-05,7.694998203078285e-07
pb3,2,19,3.214052048861049e-05,7.694998203078285e-07
pb3,2,20,3.214052048861049e-05,7.694998203078285e-07
pb3,3,1,0.0022820238446001895,0.6666355265488164
pb3,3,2,0.00151952416763379,0.0042802168918569805
pb3,3,3,0.0005203115115364199,5.8392710343468934e-05
pb3,3,4,0.00011427954632381443,6.429972927435301e-07
pb3,3,5,0.00010174760791414883,6.429972927435301e-07
pb3,3,6,6.131772261142032e-05,6.429972927435301e-07
pb3,3,7,4.378802714199992e-05,6.429972927435301e-07
pb3,3,8,4.1183456232829485e-05,6.429972927435301e-07
pb3,3,9,2.8853101866843645e-05,6.429972927435301e-07
pb3,3,10,2.8853101866843645e-05,6.429972927435301e-07
pb3,3,11,2.8853101866843645e-05,6.429972927435301e-07
pb3,3,12,2.8853101866843645e-05,6.429972927435301e-07
pb3,3,13,2.8853101866843645e-05,6.429972927435301e-07
pb3,3,14,2.8853101866843645e-05,6.429972927435301e-07
pb3,3,15,2.8853101866843645e-05,6.429972927435301e-07
pb3,3,16,2.8853101866843645e-05,6.429972927435301e-07
pb3,3,17,2.8853101866843645e-05,6.429972927435301e-07
pb3,3,18,2.8853101866843645e-05,6.429972927435301e-07
pb3,3,19,2.8853101866843645e-05,6.429972927435301e-07
pb3,3,20,2.8853101866843645e-05,6.429972927435301e-07
pb3,4,1,0.0026862496670219116,0.7574462709408181
pb3,4,2,0.000146852144098375,0.002784282931315829
pb3,4,3,0.00010305206888006069,5.7455128626315854e-05
pb3,4,4,9.726593088998925e-05,8.31091711006593e-07
pb3,4,5,5.1936884119641036e-05,8.31091711006593e-07
pb3,4,6,4.965043808624614e-05,8.31091711006593e-07
pb3,4,7,3.893810207955539e-05,8.31091711006593e-07
pb3,4,8,3.192685380781768e-05,8.31091711006593e-07
pb3,4,9,3.192685380781768e-05,8.31091711006593e-07
pb3,4,10,3.192685380781768e-05,8.31091711006593e-07
pb3,4,11,3.192685380781768e-05,8.31091711006593e-07
pb3,4,12,3.192685380781768e-05,8.31091711006593e-07
pb3,4,13,3.192685380781768e-05,8.31091711006593e-07
pb3,4,14,3.192685380781768e-05,8.31091711006593e-07
pb3,4,15,3.192685380781768e-05,8.31091711006593e-07
pb3,4,16,3.192685380781768e-05,8.31091711006593e-07
pb3,4,17,3.192685380781768e-05,8.31091711006593e-07
pb3,4,18,3.192685380781768e-05,8.31091711006593e-07
pb3,4,19,3.192685380781768e-05,8.31091711006593e-07
pb3,4,20,3.192685380781768e-05,8.31091711006593e-07
pb3,5,1,0.002714198179091909,0.6528231977545147
pb3,5,2,0.0009990811331590521,0.0026925642268906813
pb3,5,3,0.00014093380832491675,1.4092646779317874e-05
pb3,5,4,0.00010827551614056574,8.156557669281028e-07
pb3,5,5,8.700890975887887e-05,8.156557669281028e-07
pb3,5,6,7.709197234362364e-05,8.156557669281028e-07
pb3,5,7,6.297921117948135e-05,8.156557669281028e-07
pb3,5,8,4.9654893700790126e-05,8.156557669281028e-07
pb3,5,9,3.566107716324041e-05,8.156557669281028e-07
pb3,5,10,2.6727065232989844e-05,8.156557669281028e-07
pb3,5,11,2.6727065232989844e-05,8.156557669281028e-07
pb3,5,12,2.6727065232989844e-05,8.156557669281028e-07
pb3,5,13,2.6727065232989844e-05,8.156557669281028e-07
pb3,5,14,2.6727065232989844e-05,8.156557669281028e-07
pb3,5,15,2.6727065232989844e-05,8.156557669281028e-07
pb3,5,16,2.6727065232989844e-05,8.156557669281028e-07
pb3,5,17,2.6727065232989844e-05,8.156557669281028e-07
pb3,5,18,2.6727065232989844e-05,8.156557669281028e-07
pb3,5,19,2.6727065232989844e-05,8.156557669281028e-07
pb3,5,20,2.6727065232989844e-05,8.156557669281028e-07
pb3,6,1,0.002295291745213035,0.5657560712088525
pb3,6,2,0.00019244565919507295,0.002097050505653897
pb3,6,3,0.00011517176244524308,5.665449862135574e-05
pb3,6,4,9.245098681276431e-05,7.03225850884337e-07
pb3,6,5,6.0526534070959315e-05,7.03225850884337e-07
pb3,6,6,4.987993452232331e-05,7.03225850884337e-07
pb3,6,7,4.20301030317205e-05,7.03225850884337e-07
pb3,6,8,4.20301030317205e-05,7.03225850884337e-07
pb3,6,9,4.20301030317205e-05,7.03225850884337e-07
pb3,6,10,4.20301030317205e-05,7.03225850884337e-07
pb3,6,11,4.20301030317205e-05,7.03225850884337e-07
pb3,6,12,4.20301030317205e-05,7.03225850884337e-07
pb3,6,13,4.20301030317205e-05,7.03225850884337e-07
pb3,6,14,4.20301030317205e-05,7.03225850884337e-07
pb3,6,15,4.20301030317205e-05,7.03225850884337e-07
pb3,6,16,4.20301030317205e-05,7.03225850884337e-07
pb3,6,17,4.20301030317205e-05,7.03225850884337e-07
pb3,6,18,4.20301030317205e-05,7.03225850884337e-07
pb3,6,19,4.20301030317205e-05,7.03225850884337e-07
pb3,6,20,4.20301030317205e-05,7.03225850884337e-07
pb3,7,1,0.0023024593119771453,0.6363699246512624
pb3,7,2,0.0003018491033799364,0.004476048355172679
pb3,7,3,0.0001509041076133144,5.5668810091447085e-05
pb3,7,4,0.00011045497922168579,6.214149834704585e-07
pb3,7,5,8.602434627391631e-05,6.214149834704585e-07
pb3,7,6,6.865397335786838e-05,6.214149834704585e-07
pb3,7,7,5.701134887203807e-05,6.214149834704585e-07
pb3,7,8,4.964361141901463e-05,6.214149834704585e-07
pb3,7,9,4.3518931306607556e-05,6.214149834704585e-07
pb3,7,10,4.3518931306607556e-05,6.214149834704585e-07
pb3,7,11,4.3518931306607556e-05,6.214149834704585e-07
pb3,7,12,4.3518931306607556e-05,6.214149834704585e-07
pb3,7,13,4.3518931306607556e-05,6.214149834704585e-07
pb3,7,14,4.3518931306607556e-05,6.214149834704585e-07
pb3,7,15,4.3518931306607556e-05,6.214149834704585e-07
pb3,7,16,4.3518931306607556e-05,6.214149834704585e-07
pb3,7,17,4.3518931306607556e-05,6.214149834704585e-07
pb3,7,18,4.3518931306607556e-05,6.214149834704585e-07
pb3,7,19,4.3518931306607556e-05,6.214149834704585e-07
pb3,7,20,4.3518931306607556e-05,6.214149834704585e-07
pb3,8,1,0.0030450755530182505,0.6150096505989495
pb3,8,2,0.00019141417578794062,0.0022988873497524764
pb3,8,3,0.00013230151398602175,9.339917596662417e-06
pb3,8,4,9.215950922225602e-05,7.528960850322619e-07
pb3,8,5,4.786276531376643e-05,7.528960850322619e-07
pb3,8,6,4.422055462782737e-05,7.528960850322619e-07
pb3,8,7,3.5650273275678046e-05,7.528960850322619e-07
pb3,8,8,3.5650273275678046e-05,7.528960850322619e-07
pb3,8,9,3.5650273275678046e-05,7.528960850322619e-07
pb3,8,10,3.5650273275678046e-05,7.528960850322619e-07
pb3,8,11,3.5650273275678046e-05,7.528960850322619e-07
pb3,8,12,3.5650273275678046e-05,7.528960850322619e-07
pb3,8,13,3.5650273275678046e-05,7.528960850322619e-07
pb3,8,14,3.5650273275678046e-05,7.528960850322619e-07
pb3,8,15,3.5650273275678046e-05,7.528960850322619e-07
pb3,8,16,3.5650273275678046e-05,7.528960850322619e-07
pb3,8,17,3.5650273275678046e-05,7.528960850322619e-07
pb3,8,18,3.5650273275678046e-05,7.528960850322619e-07
pb3,8,19,3.5650273275678046e-05,7.528960850322619e-07
pb3,8,20,3.5650273275678046e-05,7.528960850322619e-07
pb3,9,1,0.002223182519628608,0.5355319365316973
pb3,9,2,0.00019417085968598258,0.001756103436491685
pb3,9,3,0.00014577492947864812,4.537507538771024e-05
pb3,9,4,8.65161955516669e-05,8.174283721018583e-07
pb3,9,5,7.127179651433835e-05,8.174283721018583e-07
pb3,9,6,4.031150365335634e-05,8.174283721018583e-07
pb3,9,7,3.718822881637607e-05,8.174283721018583e-07
pb3,9,8,2.6866500775213353e-05,8.174283721018583e-07
pb3,9,9,2.6866500775213353e-05,8.174283721018583e-07
pb3,9,10,2.6866500775213353e-05,8.174283721018583e-07
pb3,9,11,2.6866500775213353e-05,8.174283721018583e-07
pb3,9,12,2.6866500775213353e-05,8.174283721018583e-07
pb3,9,13,2.6866500775213353e-05,8.174283721018583e-07
pb3,9,14,2.6866500775213353e-05,8.174283721018583e-07
pb3,9,15,2.6866500775213353e-05,8.174283721018583e-07
pb3,9,16,2.6866500775213353e-05,8.174283721018583e-07
pb3,9,17,2.6866500775213353e-05,8.174283721018583e-07
pb3,9,18,2.6866500775213353e-05,8.174283721018583e-07
pb3,9,19,2.6866500775213353e-05,8.174283721018583e-07
pb3,9,20,2.6866500775213353e-05,8.174283721018583e-07
pb3,10,1,0.0031185491561700474,0.005362254615647544
pb3,10,2,0.0014910404333932092,6.729456981702242e-05
pb3,10,3,0.00022608455947192851,8.884144335752353e-07
pb3,10,4,8.78596174516133e-05,8.884144335752353e-07
pb3,10,5,6.849657256680075e-05,8.884144335752353e-07
pb3,10,6,4.8844527555047534e-05,8.884144335752353e-07
pb3,10,7,4.2690324335126206e-05,8.884144335752353e-07
pb3,10,8,3.812482827925123e-05,8.884144335752353e-07
pb3,10,9,2.844065511453664e-05,8.884144335752353e-07
pb3,10,10,2.844065511453664e-05,8.884144335752353e-07
pb3,10,11,2.844065511453664e-05,8.884144335752353e-07
pb3,10,12,2.844065511453664e-05,8.884144335752353e-07
pb3,10,13,2.844065511453664e-05,8.884144335752353e-07
pb3,10,14,2.844065511453664e-05,8.884144335752353e-07
pb3,10,15,2.844065511453664e-05,8.884144335752353e-07
pb3,10,16,2.844065511453664e-05,8.884144335752353e-07
pb3,10,17,2.844065511453664e-05,8.884144335752353e-07
pb3,10,18,2.844065511453664e-05,8.884144335752353e-07
pb3,10,19,2.844065511453664e-05,8.884144335752353e-07
pb3,10,20,2.844065511453664e-05,8.884144335752353e-07
pb4,1,1,0.006757322775229113,1.5077400350746757
pb4,1,2,0.0027640634898489225,0.8014858410751913
pb4,1,3,0.0017755211611074628,0.616794338062391
pb4,1,4,0.0008376098339795135,0.005574047372647328
pb4,1,5,0.00044116743265476543,0.00031023162773635704
pb4,1,6,0.0003228948307878454,0.00027660870910040103
pb4,1,7,0.00031686839793110266,0.00022776203877583612
pb4,1,8,0.0002976765763378353,0.0001508327986812219
pb4,1,9,0.00028630757424252806,1.0976124031003565e-05
pb4,1,10,0.00026963339132635156,5.076353772892617e-06
pb4,1,11,0.0002598681339804898,5.076353772892617e-06
pb4,1,12,0.00023628136659681331,5.076353772892617e-06
pb4,1,13,0.00022386999808077235,5.076353772892617e-06
pb4,1,14,0.00022386999808077235,5.076353772892617e-06
pb4,1,15,0.00022386999808077235,5.076353772892617e-06
pb4,1,16,0.00022386999808077235,5.076353772892617e-06
pb4,1,17,0.00022386999808077235,5.076353772892617e-06
pb4,1,18,0.00022386999808077235,5.076353772892617e-06
pb4,1,19,0.00022386999808077235,5.076353772892617e-06
pb4,1,20,0.00022386999808077235,5.076353772892617e-06
pb4,2,1,0.007015440049144672,1.5035085941353827
pb4,2,2,0.004693461523856968,0.7256145182473119
pb4,2,3,0.0021630548199027544,0.007933923238852003
pb4,2,4,0.0009406558765476802,0.00034820311338989995
pb4,2,5,0.0007149544780986616,0.00031055990621098317
pb4,2,6,0.0005559903920584475,0.00025831374932749895
pb4,2,7,0.00042697685421444476,0.00017592655694897985
pb4,2,8,0.0004187244949207525,4.3427080527180806e-05
pb4,2,9,0.00027441599650046555,5.0451490096747875e-06
pb4,2,10,0.00026481836175662465,5.0451490096747875e-06
pb4,2,11,0.00025532151812512893,5.0451490096747875e-06
pb4,2,12,0.00022331978107104078,5.0451490096747875e-06
pb4,2,13,0.00021901100262766704,5.0451490096747875e-06
pb4,2,14,0.00021901100262766704,5.0451490096747875e-06
pb4,2,15,0.00021901100262766704,5.0451490096747875e-06
pb4,2,16,0.00021901100262766704,5.0451490096747875e-06
pb4,2,17,0.00021901100262766704,5.0451490096747875e-06
pb4,2,18,0.00021901100262766704,5.0451490096747875e-06
pb4,2,19,0.00021901100262766704,5.0451490096747875e-06
pb4,2,20,0.00021901100262766704,5.0451490096747875e-06
pb4,3,1,0.006773152723326348,1.4940325578263582
pb4,3,2,0.004254034786754346,0.7325486624085897
pb4,3,3,0.0017859686831798172,0.5066215370534337
pb4,3,4,0.0008850820431689499,0.005564746251366159
pb4,3,5,0.0005044910449214512,0.0002720712418522453
pb4,3,6,0.0003601728521971381,0.0002354045591346221
pb4,3,7,0.00034898855392384576,0.00020036596833961084
pb4,3,8,0.0003259868735767668,0.00012796474493370624
pb4,3,9,0.00031295550070353784,2.1989827473589685e-05
pb4,3,10,0.0002529467283238773,4.845773219130933e-06
pb4,3,11,0.00024239808226411697,4.845773219130933e-06
pb4,3,12,0.0002250994075438939,4.845773219130933e-06
pb4,3,13,0.00020188277085253503,4.845773219130933e-06
pb4,3,14,0.00019803429404419148,4.845773219130933e-06
pb4,3,15,0.00019803429404419148,4.845773219130933e-06
pb4,3,16,0.00019803429404419148,4.845773219130933e-06
pb4,3,17,0.00019803429404419148,4.845773219130933e-06
pb4,3,18,0.00019803429404419148,4.845773219130933e-06
pb4,3,19,0.00019803429404419148,4.845773219130933e-06
pb4,3,20,0.00019803429404419148,4.845773219130933e-06
pb4,4,1,0.006867308921755466,1.4870272407515586
pb4,4,2,0.004472774025089166,0.7942373269106611
pb4,4,3,0.002252579252854048,0.6182582144820117
