system,method,R,err_mean,err_std,err_min,err_max
pb2,standard,10,4.923322194372304e-08,1.4645820556324907e-07,4.1382008930668235e-10,4.886078386334702e-07
pb2,en,10,3.601599019020796e-10,0.0,3.601599019020796e-10,3.601599019020796e-10
pb3,standard,10,3.2917014868871776e-05,5.621301284913601e-06,2.6727065232989844e-05,4.3518931306607556e-05
pb3,en,10,7.367689249804243e-07,1.067693747470009e-07,5.250649337540381e-07,8.884144335752353e-07
pb4,standard,10,0.0002072207841592899,2.3265647170661392e-05,0.00016882011459529167,0.00024639801540615736
pb4,en,10,5.056452482676832e-06,1.5649160284273818e-07,4.777078174811322e-06,5.367397534428164e-06
