,Time_sec,Time_sec,Time_sec,Time_sec,Iter_1_Error,Iter_1_Error,Iter_1_Error,Iter_1_Error,Iter_2_Error,Iter_2_Error,Iter_2_Error,Iter_2_Error,Iter_3_Error,Iter_3_Error,Iter_3_Error,Iter_3_Error,Iter_4_Error,Iter_4_Error,Iter_4_Error,Iter_4_Error,Iter_5_Error,Iter_5_Error,Iter_5_Error,Iter_5_Error,Iter_6_Error,Iter_6_Error,Iter_6_Error,Iter_6_Error,Iter_7_Error,Iter_7_Error,Iter_7_Error,Iter_7_Error,Iter_8_Error,Iter_8_Error,Iter_8_Error,Iter_8_Error,Iter_9_Error,Iter_9_Error,Iter_9_Error,Iter_9_Error,Iter_10_Error,Iter_10_Error,Iter_10_Error,Iter_10_Error,Iter_11_Error,Iter_11_Error,Iter_11_Error,Iter_11_Error,Iter_12_Error,Iter_12_Error,Iter_12_Error,Iter_12_Error,Iter_13_Error,Iter_13_Error,Iter_13_Error,Iter_13_Error,Iter_14_Error,Iter_14_Error,Iter_14_Error,Iter_14_Error,Iter_15_Error,Iter_15_Error,Iter_15_Error,Iter_15_Error,Iter_16_Error,Iter_16_Error,Iter_16_Error,Iter_16_Error,Iter_17_Error,Iter_17_Error,Iter_17_Error,Iter_17_Error,Iter_18_Error,Iter_18_Error,Iter_18_Error,Iter_18_Error,Iter_19_Error,Iter_19_Error,Iter_19_Error,Iter_19_Error,Iter_20_Error,Iter_20_Error,Iter_20_Error,Iter_20_Error
,mean,var,std,median,mean,var,std,median,mean,var,std,median,mean,var,std,median,mean,var,std,median,mean,var,std,median,mean,var,std,median,mean,var,std,median,mean,var,std,median,mean,var,std,median,mean,var,std,median,mean,var,std,median,mean,var,std,median,mean,var,std,median,mean,var,std,median,mean,var,std,median,mean,var,std,median,mean,var,std,median,mean,var,std,median,mean,var,std,median,mean,var,std,median
Experiment_Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B_add_1200,0.3507335424423218,0.0009376889813849074,0.03062170768237636,0.33956122398376465,0.00036086901454837064,2.6238839336004893e-07,0.0005122386097904461,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10
B_add_200,0.33828613758087156,4.0474114376820534e-05,0.006361926938972228,0.3380073308944702,0.00036086901454837064,2.6238839336004893e-07,0.0005122386097904461,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10
Proposed_Baseline(ABC),0.3361377239227295,3.622948229601919e-05,0.006019093145650696,0.33437204360961914,0.00036086901454837064,2.6238839336004893e-07,0.0005122386097904461,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10
Score_A,0.34277479648590087,0.0003034613548992283,0.017420142218111435,0.3374440670013428,0.00036086901454837064,2.6238839336004893e-07,0.0005122386097904461,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10
Score_AB,0.34008476734161375,0.0002278729106447167,0.015095459934851826,0.33756518363952637,0.00036086901454837064,2.6238839336004893e-07,0.0005122386097904461,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10
Score_AC,0.34441702365875243,0.00031550417168154526,0.017762437098595037,0.33805859088897705,0.00036086901454837064,2.6238839336004893e-07,0.0005122386097904461,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10
Score_B,0.32969858646392824,6.010515722323345e-05,0.007752751590450545,0.32735490798950195,0.00036086901454837064,2.6238839336004893e-07,0.0005122386097904461,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10
Score_BC,0.3283823490142822,6.687624478824238e-05,0.008177789725117807,0.32991838455200195,0.00036086901454837064,2.6238839336004893e-07,0.0005122386097904461,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10,3.601599019020796e-10,0.0,0.0,3.601599019020796e-10
