,Time_sec,Time_sec,Time_sec,Time_sec,Iter_1_Error,Iter_1_Error,Iter_1_Error,Iter_1_Error,Iter_2_Error,Iter_2_Error,Iter_2_Error,Iter_2_Error,Iter_3_Error,Iter_3_Error,Iter_3_Error,Iter_3_Error,Iter_4_Error,Iter_4_Error,Iter_4_Error,Iter_4_Error,Iter_5_Error,Iter_5_Error,Iter_5_Error,Iter_5_Error,Iter_6_Error,Iter_6_Error,Iter_6_Error,Iter_6_Error,Iter_7_Error,Iter_7_Error,Iter_7_Error,Iter_7_Error,Iter_8_Error,Iter_8_Error,Iter_8_Error,Iter_8_Error,Iter_9_Error,Iter_9_Error,Iter_9_Error,Iter_9_Error,Iter_10_Error,Iter_10_Error,Iter_10_Error,Iter_10_Error,Iter_11_Error,Iter_11_Error,Iter_11_Error,Iter_11_Error,Iter_12_Error,Iter_12_Error,Iter_12_Error,Iter_12_Error,Iter_13_Error,Iter_13_Error,Iter_13_Error,Iter_13_Error,Iter_14_Error,Iter_14_Error,Iter_14_Error,Iter_14_Error,Iter_15_Error,Iter_15_Error,Iter_15_Error,Iter_15_Error,Iter_16_Error,Iter_16_Error,Iter_16_Error,Iter_16_Error,Iter_17_Error,Iter_17_Error,Iter_17_Error,Iter_17_Error,Iter_18_Error,Iter_18_Error,Iter_18_Error,Iter_18_Error,Iter_19_Error,Iter_19_Error,Iter_19_Error,Iter_19_Error,Iter_20_Error,Iter_20_Error,Iter_20_Error,Iter_20_Error
,mean,var,std,median,mean,var,std,median,mean,var,std,median,mean,var,std,median,mean,var,std,median,mean,var,std,median,mean,var,std,median,mean,var,std,median,mean,var,std,median,mean,var,std,median,mean,var,std,median,mean,var,std,median,mean,var,std,median,mean,var,std,median,mean,var,std,median,mean,var,std,median,mean,var,std,median,mean,var,std,median,mean,var,std,median,mean,var,std,median,mean,var,std,median
Experiment_Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B_add_1200,3.0510603904724123,0.05219081236261907,0.2284530856929253,3.112584114074707,0.592541529031314,0.05188080937692305,0.22777359236075426,0.6267705887030388,0.0014264876640481816,1.3299577577755937e-06,0.0011532379449946978,0.001107354469695565,6.724220838805195e-07,1.6588604607907662e-14,1.2879675697744746e-07,6.347540875140112e-07,6.724220838805195e-07,1.6588604607907662e-14,1.2879675697744746e-07,6.347540875140112e-07,6.724220838805195e-07,1.6588604607907662e-14,1.2879675697744746e-07,6.347540875140112e-07,6.724220838805195e-07,1.6588604607907662e-14,1.2879675697744746e-07,6.347540875140112e-07,6.724220838805195e-07,1.6588604607907662e-14,1.2879675697744746e-07,6.347540875140112e-07,6.724220838805195e-07,1.6588604607907662e-14,1.2879675697744746e-07,6.347540875140112e-07,6.724220838805195e-07,1.6588604607907662e-14,1.2879675697744746e-07,6.347540875140112e-07,6.724220838805195e-07,1.6588604607907662e-14,1.2879675697744746e-07,6.347540875140112e-07,6.724220838805195e-07,1.6588604607907662e-14,1.2879675697744746e-07,6.347540875140112e-07,6.724220838805195e-07,1.6588604607907662e-14,1.2879675697744746e-07,6.347540875140112e-07,6.724220838805195e-07,1.6588604607907662e-14,1.2879675697744746e-07,6.347540875140112e-07,6.724220838805195e-07,1.6588604607907662e-14,1.2879675697744746e-07,6.347540875140112e-07,6.724220838805195e-07,1.6588604607907662e-14,1.2879675697744746e-07,6.347540875140112e-07,6.724220838805195e-07,1.6588604607907662e-14,1.2879675697744746e-07,6.347540875140112e-07,6.724220838805195e-07,1.6588604607907662e-14,1.2879675697744746e-07,6.347540875140112e-07,6.724220838805195e-07,1.6588604607907662e-14,1.2879675697744746e-07,6.347540875140112e-07,6.724220838805195e-07,1.6588604607907662e-14,1.2879675697744746e-07,6.347540875140112e-07,6.724220838805195e-07,1.6588604607907662e-14,1.2879675697744746e-07,6.347540875140112e-07
B_add_200,3.0740726947784425,0.20058654199387244,0.4478688892900158,3.0399945974349976,0.592541529031314,0.05188080937692305,0.22777359236075426,0.6267705887030388,0.2260894132690737,0.08317798474224551,0.28840593742543774,0.004814859752514167,0.053851685153586,0.02761686507205798,0.1661832274089596,0.0006449225802498404,0.00047780089307707384,9.477347162958329e-07,0.0009735166748935701,0.00012684692728726077,7.180821248766733e-05,1.6037168207267652e-09,4.004643330843291e-05,6.645128632953856e-05,3.0443588184425607e-05,8.186303706462606e-10,2.861171736625155e-05,1.2565632459882181e-05,3.9555236980959306e-06,2.063692804503128e-11,4.542788575867391e-06,8.714387149666436e-07,1.6201838661800139e-06,6.866844682972317e-12,2.6204665010208235e-06,8.339357009390369e-07,7.979652764333878e-07,5.8095885213250805e-15,7.622065678885928e-08,8.339357009390369e-07,7.979652764333878e-07,5.8095885213250805e-15,7.622065678885928e-08,8.339357009390369e-07,7.979652764333878e-07,5.8095885213250805e-15,7.622065678885928e-08,8.339357009390369e-07,7.979652764333878e-07,5.8095885213250805e-15,7.622065678885928e-08,8.339357009390369e-07,7.979652764333878e-07,5.8095885213250805e-15,7.622065678885928e-08,8.339357009390369e-07,7.979652764333878e-07,5.8095885213250805e-15,7.622065678885928e-08,8.339357009390369e-07,7.979652764333878e-07,5.8095885213250805e-15,7.622065678885928e-08,8.339357009390369e-07,7.979652764333878e-07,5.8095885213250805e-15,7.622065678885928e-08,8.339357009390369e-07,7.979652764333878e-07,5.8095885213250805e-15,7.622065678885928e-08,8.339357009390369e-07,7.979652764333878e-07,5.8095885213250805e-15,7.622065678885928e-08,8.339357009390369e-07,7.979652764333878e-07,5.8095885213250805e-15,7.622065678885928e-08,8.339357009390369e-07,7.979652764333878e-07,5.8095885213250805e-15,7.622065678885928e-08,8.339357009390369e-07
Proposed_Baseline(ABC),2.8832905530929565,0.04379332377470053,0.20926854463750763,2.8935492038726807,0.592541529031314,0.05188080937692305,0.22777359236075426,0.6267705887030388,0.0026449387158208994,1.4207165090602578e-06,0.0011919381313894853,0.002900871999827359,3.61440024789772e-05,5.109157603725718e-10,2.260344576325857e-05,3.993656082457164e-05,7.437419299094472e-07,1.3659278112446323e-14,1.1687291436618804e-07,7.832554729247931e-07,7.437419299094472e-07,1.3659278112446323e-14,1.1687291436618804e-07,7.832554729247931e-07,7.437419299094472e-07,1.3659278112446323e-14,1.1687291436618804e-07,7.832554729247931e-07,7.437419299094472e-07,1.3659278112446323e-14,1.1687291436618804e-07,7.832554729247931e-07,7.437419299094472e-07,1.3659278112446323e-14,1.1687291436618804e-07,7.832554729247931e-07,7.437419299094472e-07,1.3659278112446323e-14,1.1687291436618804e-07,7.832554729247931e-07,7.437419299094472e-07,1.3659278112446323e-14,1.1687291436618804e-07,7.832554729247931e-07,7.437419299094472e-07,1.3659278112446323e-14,1.1687291436618804e-07,7.832554729247931e-07,7.437419299094472e-07,1.3659278112446323e-14,1.1687291436618804e-07,7.832554729247931e-07,7.437419299094472e-07,1.3659278112446323e-14,1.1687291436618804e-07,7.832554729247931e-07,7.437419299094472e-07,1.3659278112446323e-14,1.1687291436618804e-07,7.832554729247931e-07,7.437419299094472e-07,1.3659278112446323e-14,1.1687291436618804e-07,7.832554729247931e-07,7.437419299094472e-07,1.3659278112446323e-14,1.1687291436618804e-07,7.832554729247931e-07,7.437419299094472e-07,1.3659278112446323e-14,1.1687291436618804e-07,7.832554729247931e-07,7.437419299094472e-07,1.3659278112446323e-14,1.1687291436618804e-07,7.832554729247931e-07,7.437419299094472e-07,1.3659278112446323e-14,1.1687291436618804e-07,7.832554729247931e-07,7.437419299094472e-07,1.3659278112446323e-14,1.1687291436618804e-07,7.832554729247931e-07
Score_A,2.893644690513611,0.046821501146171035,0.21638276536307377,2.9120250940322876,0.592541529031314,0.05188080937692305,0.22777359236075426,0.6267705887030388,0.002756823075833381,1.8471658487747216e-06,0.0013591047968330924,0.002738423579103255,3.4437626163708045e-05,5.096832679162129e-10,2.257616592595414e-05,3.437754321566899e-05,7.367689249804243e-07,1.266633264873946e-14,1.1254480285086229e-07,7.611979526700452e-07,7.367689249804243e-07,1.266633264873946e-14,1.1254480285086229e-07,7.611979526700452e-07,7.367689249804243e-07,1.266633264873946e-14,1.1254480285086229e-07,7.611979526700452e-07,7.367689249804243e-07,1.266633264873946e-14,1.1254480285086229e-07,7.611979526700452e-07,7.367689249804243e-07,1.266633264873946e-14,1.1254480285086229e-07,7.611979526700452e-07,7.367689249804243e-07,1.266633264873946e-14,1.1254480285086229e-07,7.611979526700452e-07,7.367689249804243e-07,1.266633264873946e-14,1.1254480285086229e-07,7.611979526700452e-07,7.367689249804243e-07,1.266633264873946e-14,1.1254480285086229e-07,7.611979526700452e-07,7.367689249804243e-07,1.266633264873946e-14,1.1254480285086229e-07,7.611979526700452e-07,7.367689249804243e-07,1.266633264873946e-14,1.1254480285086229e-07,7.611979526700452e-07,7.367689249804243e-07,1.266633264873946e-14,1.1254480285086229e-07,7.611979526700452e-07,7.367689249804243e-07,1.266633264873946e-14,1.1254480285086229e-07,7.611979526700452e-07,7.367689249804243e-07,1.266633264873946e-14,1.1254480285086229e-07,7.611979526700452e-07,7.367689249804243e-07,1.266633264873946e-14,1.1254480285086229e-07,7.611979526700452e-07,7.367689249804243e-07,1.266633264873946e-14,1.1254480285086229e-07,7.611979526700452e-07,7.367689249804243e-07,1.266633264873946e-14,1.1254480285086229e-07,7.611979526700452e-07,7.367689249804243e-07,1.266633264873946e-14,1.1254480285086229e-07,7.611979526700452e-07
Score_AB,2.89451060295105,0.053738283678717406,0.2318151929419584,2.890381336212158,0.592541529031314,0.05188080937692305,0.22777359236075426,0.6267705887030388,0.002861719735938095,1.8336396807027392e-06,0.001354119522310619,0.0029008222977608966,3.606240652516135e-05,5.125252741600367e-10,2.2639021051274206e-05,3.956282989747706e-05,7.422276212309953e-07,1.3668926990841476e-14,1.169141864396339e-07,7.760800144751556e-07,7.422276212309953e-07,1.3668926990841476e-14,1.169141864396339e-07,7.760800144751556e-07,7.422276212309953e-07,1.3668926990841476e-14,1.169141864396339e-07,7.760800144751556e-07,7.422276212309953e-07,1.3668926990841476e-14,1.169141864396339e-07,7.760800144751556e-07,7.422276212309953e-07,1.3668926990841476e-14,1.169141864396339e-07,7.760800144751556e-07,7.422276212309953e-07,1.3668926990841476e-14,1.169141864396339e-07,7.760800144751556e-07,7.422276212309953e-07,1.3668926990841476e-14,1.169141864396339e-07,7.760800144751556e-07,7.422276212309953e-07,1.3668926990841476e-14,1.169141864396339e-07,7.760800144751556e-07,7.422276212309953e-07,1.3668926990841476e-14,1.169141864396339e-07,7.760800144751556e-07,7.422276212309953e-07,1.3668926990841476e-14,1.169141864396339e-07,7.760800144751556e-07,7.422276212309953e-07,1.3668926990841476e-14,1.169141864396339e-07,7.760800144751556e-07,7.422276212309953e-07,1.3668926990841476e-14,1.169141864396339e-07,7.760800144751556e-07,7.422276212309953e-07,1.3668926990841476e-14,1.169141864396339e-07,7.760800144751556e-07,7.422276212309953e-07,1.3668926990841476e-14,1.169141864396339e-07,7.760800144751556e-07,7.422276212309953e-07,1.3668926990841476e-14,1.169141864396339e-07,7.760800144751556e-07,7.422276212309953e-07,1.3668926990841476e-14,1.169141864396339e-07,7.760800144751556e-07,7.422276212309953e-07,1.3668926990841476e-14,1.169141864396339e-07,7.760800144751556e-07
Score_AC,2.886749291419983,0.051048301308071004,0.22593871139773947,2.87873911857605,0.592541529031314,0.05188080937692305,0.22777359236075426,0.6267705887030388,0.002501096711603168,1.3142199506012913e-06,0.001146394325963493,0.002738871506153373,3.460596144577721e-05,5.115974191574049e-10,2.261851938472996e-05,3.4415962545608636e-05,7.581405952805653e-07,9.029722943787323e-15,9.502485434762488e-08,7.858179742470384e-07,7.581405952805653e-07,9.029722943787323e-15,9.502485434762488e-08,7.858179742470384e-07,7.581405952805653e-07,9.029722943787323e-15,9.502485434762488e-08,7.858179742470384e-07,7.581405952805653e-07,9.029722943787323e-15,9.502485434762488e-08,7.858179742470384e-07,7.581405952805653e-07,9.029722943787323e-15,9.502485434762488e-08,7.858179742470384e-07,7.581405952805653e-07,9.029722943787323e-15,9.502485434762488e-08,7.858179742470384e-07,7.581405952805653e-07,9.029722943787323e-15,9.502485434762488e-08,7.858179742470384e-07,7.581405952805653e-07,9.029722943787323e-15,9.502485434762488e-08,7.858179742470384e-07,7.581405952805653e-07,9.029722943787323e-15,9.502485434762488e-08,7.858179742470384e-07,7.581405952805653e-07,9.029722943787323e-15,9.502485434762488e-08,7.858179742470384e-07,7.581405952805653e-07,9.029722943787323e-15,9.502485434762488e-08,7.858179742470384e-07,7.581405952805653e-07,9.029722943787323e-15,9.502485434762488e-08,7.858179742470384e-07,7.581405952805653e-07,9.029722943787323e-15,9.502485434762488e-08,7.858179742470384e-07,7.581405952805653e-07,9.029722943787323e-15,9.502485434762488e-08,7.858179742470384e-07,7.581405952805653e-07,9.029722943787323e-15,9.502485434762488e-08,7.858179742470384e-07,7.581405952805653e-07,9.029722943787323e-15,9.502485434762488e-08,7.858179742470384e-07,7.581405952805653e-07,9.029722943787323e-15,9.502485434762488e-08,7.858179742470384e-07
Score_B,4.960079002380371,4.766937020936272,2.183331633292632,4.897575497627258,0.592541529031314,0.05188080937692305,0.22777359236075426,0.6267705887030388,0.281425051480619,0.0873556782137057,0.29555994013686243,0.2361680784888449,0.27434381216035036,0.08458628141861863,0.29083720776169375,0.23263269514745843,0.26446558436255146,0.07838079551377236,0.27996570417422983,0.23148976419770406,0.2433089412584195,0.06592283165818644,0.2567544189652564,0.2287536780672781,0.2309849555681467,0.059340148701694385,0.24359833476790105,0.2278891129499243,0.1827222234895089,0.05559086952860991,0.2357771607442288,0.0002690043393158703,0.1368417288850651,0.04849240415725578,0.22020990930758721,4.266490122972755e-06,2.9037226340733467e-06,1.1381490484060604e-11,3.373646466964285e-06,8.363012966583483e-07,2.017558472289238e-06,7.176763510998865e-12,2.678948209838866e-06,7.450898920069449e-07,4.366212124295998e-07,9.541881253629906e-14,3.088993566459779e-07,3.4737058740574867e-07,4.366212124295998e-07,9.541881253629906e-14,3.088993566459779e-07,3.4737058740574867e-07,4.366212124295998e-07,9.541881253629906e-14,3.088993566459779e-07,3.4737058740574867e-07,4.366212124295998e-07,9.541881253629906e-14,3.088993566459779e-07,3.4737058740574867e-07,4.366212124295998e-07,9.541881253629906e-14,3.088993566459779e-07,3.4737058740574867e-07,4.366212124295998e-07,9.541881253629906e-14,3.088993566459779e-07,3.4737058740574867e-07,4.366212124295998e-07,9.541881253629906e-14,3.088993566459779e-07,3.4737058740574867e-07,4.366212124295998e-07,9.541881253629906e-14,3.088993566459779e-07,3.4737058740574867e-07,4.366212124295998e-07,9.541881253629906e-14,3.088993566459779e-07,3.4737058740574867e-07,4.366212124295998e-07,9.541881253629906e-14,3.088993566459779e-07,3.4737058740574867e-07
Score_BC,4.653676819801331,5.541994910838866,2.3541441992449967,3.161121129989624,0.592541529031314,0.05188080937692305,0.22777359236075426,0.6267705887030388,0.22173371006647358,0.080545267333861,0.2838049811646388,0.005079466952793155,0.21767167317557323,0.07987217603489186,0.282616659160234,3.940871965824044e-05,0.20474432475020876,0.07022185953310993,0.2649940745245258,8.387769412365742e-07,0.19357408819405464,0.06256615147722494,0.25013226796482085,8.387769412365742e-07,0.18587248763187744,0.05766187386179286,0.2401288692802114,8.387769412365742e-07,0.13729272365608267,0.048813758141687764,0.2209383582397764,8.387769412365742e-07,0.13686847151475376,0.048565763310863236,0.22037641278245554,8.387769412365742e-07,2.0923588635923806e-06,7.012614122046612e-12,2.6481340830944744e-06,7.866638043196872e-07,2.0923588635923806e-06,7.012614122046612e-12,2.6481340830944744e-06,7.866638043196872e-07,5.014290763938334e-07,9.501691284328674e-14,3.0824813518217226e-07,6.037494131305721e-07,5.014290763938334e-07,9.501691284328674e-14,3.0824813518217226e-07,6.037494131305721e-07,5.014290763938334e-07,9.501691284328674e-14,3.0824813518217226e-07,6.037494131305721e-07,5.014290763938334e-07,9.501691284328674e-14,3.0824813518217226e-07,6.037494131305721e-07,5.014290763938334e-07,9.501691284328674e-14,3.0824813518217226e-07,6.037494131305721e-07,5.014290763938334e-07,9.501691284328674e-14,3.0824813518217226e-07,6.037494131305721e-07,5.014290763938334e-07,9.501691284328674e-14,3.0824813518217226e-07,6.037494131305721e-07,5.014290763938334e-07,9.501691284328674e-14,3.0824813518217226e-07,6.037494131305721e-07,5.014290763938334e-07,9.501691284328674e-14,3.0824813518217226e-07,6.037494131305721e-07,5.014290763938334e-07,9.501691284328674e-14,3.0824813518217226e-07,6.037494131305721e-07
