System,Run,Experiment_Name,Method,Score_Type,B_add,gamma,tau_dom,Time_sec,Iter_1_Energy,Iter_1_Error,Iter_2_Energy,Iter_2_Error,Iter_3_Energy,Iter_3_Error,Iter_4_Energy,Iter_4_Error,Iter_5_Energy,Iter_5_Error,Iter_6_Energy,Iter_6_Error,Iter_7_Energy,Iter_7_Error,Iter_8_Energy,Iter_8_Error,Iter_9_Energy,Iter_9_Error,Iter_10_Energy,Iter_10_Error,Iter_11_Energy,Iter_11_Error,Iter_12_Energy,Iter_12_Error,Iter_13_Energy,Iter_13_Error,Iter_14_Energy,Iter_14_Error,Iter_15_Energy,Iter_15_Error,Iter_16_Energy,Iter_16_Error,Iter_17_Energy,Iter_17_Error,Iter_18_Energy,Iter_18_Error,Iter_19_Energy,Iter_19_Error,Iter_20_Energy,Iter_20_Error
pb3,run01.json,B_add_1200,AS-SQD,ABC,1200,1.0,0.001,3.2540879249572754,-6279.005675441241,0.8733092047077662,-6279.878113170466,0.0008714754821994575,-6279.878984144676,5.012725523556583e-07,-6279.878984144676,5.012725523556583e-07,-6279.878984144676,5.012725523556583e-07,-6279.878984144676,5.012725523556583e-07,-6279.878984144676,5.012725523556583e-07,-6279.878984144676,5.012725523556583e-07,-6279.878984144676,5.012725523556583e-07,-6279.878984144676,5.012725523556583e-07,-6279.878984144676,5.012725523556583e-07,-6279.878984144676,5.012725523556583e-07,-6279.878984144676,5.012725523556583e-07,-6279.878984144676,5.012725523556583e-07,-6279.878984144676,5.012725523556583e-07,-6279.878984144676,5.012725523556583e-07,-6279.878984144676,5.012725523556583e-07,-6279.878984144676,5.012725523556583e-07,-6279.878984144676,5.012725523556583e-07,-6279.878984144676,5.012725523556583e-07
pb3,run01.json,B_add_200,AS-SQD,ABC,200,1.0,0.001,2.981516122817993,-6279.005675441241,0.8733092047077662,-6279.87473317757,0.004251468378242862,-6279.878430549115,0.0005540968331843033,-6279.878945982484,3.8663464692945126e-05,-6279.878953855467,3.0790481105213985e-05,-6279.878971841153,1.2804795915144496e-05,-6279.878983919041,7.269072739291005e-07,-6279.878983919041,7.269072739291005e-07,-6279.878983919041,7.269072739291005e-07,-6279.878983919041,7.269072739291005e-07,-6279.878983919041,7.269072739291005e-07,-6279.878983919041,7.269072739291005e-07,-6279.878983919041,7.269072739291005e-07,-6279.878983919041,7.269072739291005e-07,-6279.878983919041,7.269072739291005e-07,-6279.878983919041,7.269072739291005e-07,-6279.878983919041,7.269072739291005e-07,-6279.878983919041,7.269072739291005e-07,-6279.878983919041,7.269072739291005e-07,-6279.878983919041,7.269072739291005e-07
pb3,run01.json,Proposed_Baseline(ABC),AS-SQD,ABC,600,1.0,0.001,3.120727062225342,-6279.005675441241,0.8733092047077662,-6279.875527228574,0.003457417374193028,-6279.878960441637,2.42043115576962e-05,-6279.878984120884,5.250649337540381e-07,-6279.878984120884,5.250649337540381e-07,-6279.878984120884,5.250649337540381e-07,-6279.878984120884,5.250649337540381e-07,-6279.878984120884,5.250649337540381e-07,-6279.878984120884,5.250649337540381e-07,-6279.878984120884,5.250649337540381e-07,-6279.878984120884,5.250649337540381e-07,-6279.878984120884,5.250649337540381e-07,-6279.878984120884,5.250649337540381e-07,-6279.878984120884,5.250649337540381e-07,-6279.878984120884,5.250649337540381e-07,-6279.878984120884,5.250649337540381e-07,-6279.878984120884,5.250649337540381e-07,-6279.878984120884,5.250649337540381e-07,-6279.878984120884,5.250649337540381e-07,-6279.878984120884,5.250649337540381e-07
pb3,run01.json,Score_A,AS-SQD,A,600,1.0,0.001,3.1505870819091797,-6279.005675441241,0.8733092047077662,-6279.876194776947,0.0027898690013898886,-6279.8789615169,2.312904871359933e-05,-6279.878984120884,5.250649337540381e-07,-6279.878984120884,5.250649337540381e-07,-6279.878984120884,5.250649337540381e-07,-6279.878984120884,5.250649337540381e-07,-6279.878984120884,5.250649337540381e-07,-6279.878984120884,5.250649337540381e-07,-6279.878984120884,5.250649337540381e-07,-6279.878984120884,5.250649337540381e-07,-6279.878984120884,5.250649337540381e-07,-6279.878984120884,5.250649337540381e-07,-6279.878984120884,5.250649337540381e-07,-6279.878984120884,5.250649337540381e-07,-6279.878984120884,5.250649337540381e-07,-6279.878984120884,5.250649337540381e-07,-6279.878984120884,5.250649337540381e-07,-6279.878984120884,5.250649337540381e-07,-6279.878984120884,5.250649337540381e-07
pb3,run01.json,Score_AB,AS-SQD,AB,600,1.0,0.001,3.203658103942871,-6279.005675441241,0.8733092047077662,-6279.875864693506,0.003119952442830254,-6279.878961517255,2.312869310117094e-05,-6279.878984121235,5.247138687991537e-07,-6279.878984121235,5.247138687991537e-07,-6279.878984121235,5.247138687991537e-07,-6279.878984121235,5.247138687991537e-07,-6279.878984121235,5.247138687991537e-07,-6279.878984121235,5.247138687991537e-07,-6279.878984121235,5.247138687991537e-07,-6279.878984121235,5.247138687991537e-07,-6279.878984121235,5.247138687991537e-07,-6279.878984121235,5.247138687991537e-07,-6279.878984121235,5.247138687991537e-07,-6279.878984121235,5.247138687991537e-07,-6279.878984121235,5.247138687991537e-07,-6279.878984121235,5.247138687991537e-07,-6279.878984121235,5.247138687991537e-07,-6279.878984121235,5.247138687991537e-07,-6279.878984121235,5.247138687991537e-07
pb3,run01.json,Score_AC,AS-SQD,AC,600,1.0,0.001,3.1838018894195557,-6279.005675441241,0.8733092047077662,-6279.876194739511,0.0027899064371013083,-6279.878961421593,2.322435557289282e-05,-6279.878983997124,6.488244252977893e-07,-6279.878983997124,6.488244252977893e-07,-6279.878983997124,6.488244252977893e-07,-6279.878983997124,6.488244252977893e-07,-6279.878983997124,6.488244252977893e-07,-6279.878983997124,6.488244252977893e-07,-6279.878983997124,6.488244252977893e-07,-6279.878983997124,6.488244252977893e-07,-6279.878983997124,6.488244252977893e-07,-6279.878983997124,6.488244252977893e-07,-6279.878983997124,6.488244252977893e-07,-6279.878983997124,6.488244252977893e-07,-6279.878983997124,6.488244252977893e-07,-6279.878983997124,6.488244252977893e-07,-6279.878983997124,6.488244252977893e-07,-6279.878983997124,6.488244252977893e-07,-6279.878983997124,6.488244252977893e-07
pb3,run01.json,Score_B,AS-SQD,B,600,1.0,0.001,3.1092939376831055,-6279.005675441241,0.8733092047077662,-6279.874007999024,0.004976646924660599,-6279.878944991292,3.965465657529421e-05,-6279.8789841251355,5.208130460232496e-07,-6279.8789841251355,5.208130460232496e-07,-6279.8789841251355,5.208130460232496e-07,-6279.8789841251355,5.208130460232496e-07,-6279.8789841251355,5.208130460232496e-07,-6279.8789841251355,5.208130460232496e-07,-6279.8789841251355,5.208130460232496e-07,-6279.8789841251355,5.208130460232496e-07,-6279.8789841251355,5.208130460232496e-07,-6279.8789841251355,5.208130460232496e-07,-6279.8789841251355,5.208130460232496e-07,-6279.8789841251355,5.208130460232496e-07,-6279.8789841251355,5.208130460232496e-07,-6279.8789841251355,5.208130460232496e-07,-6279.8789841251355,5.208130460232496e-07,-6279.8789841251355,5.208130460232496e-07,-6279.8789841251355,5.208130460232496e-07
pb3,run01.json,Score_BC,AS-SQD,BC,600,1.0,0.001,3.0729401111602783,-6279.005675441241,0.8733092047077662,-6279.874022848974,0.004961796974384924,-6279.878944987394,3.965855466958601e-05,-6279.8789841221715,5.237770892563276e-07,-6279.8789841221715,5.237770892563276e-07,-6279.8789841221715,5.237770892563276e-07,-6279.8789841221715,5.237770892563276e-07,-6279.8789841221715,5.237770892563276e-07,-6279.8789841221715,5.237770892563276e-07,-6279.8789841221715,5.237770892563276e-07,-6279.8789841221715,5.237770892563276e-07,-6279.8789841221715,5.237770892563276e-07,-6279.8789841221715,5.237770892563276e-07,-6279.8789841221715,5.237770892563276e-07,-6279.8789841221715,5.237770892563276e-07,-6279.8789841221715,5.237770892563276e-07,-6279.8789841221715,5.237770892563276e-07,-6279.8789841221715,5.237770892563276e-07,-6279.8789841221715,5.237770892563276e-07,-6279.8789841221715,5.237770892563276e-07
pb3,run01.json,Score_C,AS-SQD,C,600,1.0,0.001,3.0677201747894287,-6279.005675441241,0.8733092047077662,-6279.878958644141,2.600180778244976e-05,-6279.878979616401,5.029547537560575e-06,-6279.8789838867415,7.592070687678643e-07,-6279.8789838867415,7.592070687678643e-07,-6279.8789838867415,7.592070687678643e-07,-6279.8789838867415,7.592070687678643e-07,-6279.8789838867415,7.592070687678643e-07,-6279.8789838867415,7.592070687678643e-07,-6279.8789838867415,7.592070687678643e-07,-6279.8789838867415,7.592070687678643e-07,-6279.8789838867415,7.592070687678643e-07,-6279.8789838867415,7.592070687678643e-07,-6279.8789838867415,7.592070687678643e-07,-6279.8789838867415,7.592070687678643e-07,-6279.8789838867415,7.592070687678643e-07,-6279.8789838867415,7.592070687678643e-07,-6279.8789838867415,7.592070687678643e-07,-6279.8789838867415,7.592070687678643e-07,-6279.8789838867415,7.592070687678643e-07
pb3,run01.json,Standard_SQD,Standard_SQD,N/A,N/A,N/A,N/A,3.5196008682250977,-6279.877069720036,0.0019149259123878437,-6279.878679835942,0.0003048100061278092,-6279.878837471882,0.00014717406611453043,-6279.878873383992,0.00011126195659016958,-6279.8789165336875,6.811226103309309e-05,-6279.878931510926,5.313502242643153e-05,-6279.878947218928,3.742702028830536e-05,-6279.878951629805,3.301614378869999e-05,-6279.878951629805,3.301614378869999e-05,-6279.878951629805,3.301614378869999e-05,-6279.878951629805,3.301614378869999e-05,-6279.878951629805,3.301614378869999e-05,-6279.878951629805,3.301614378869999e-05,-6279.878951629805,3.301614378869999e-05,-6279.878951629805,3.301614378869999e-05,-6279.878951629805,3.301614378869999e-05,-6279.878951629805,3.301614378869999e-05,-6279.878951629805,3.301614378869999e-05,-6279.878951629805,3.301614378869999e-05,-6279.878951629805,3.301614378869999e-05
