System,Run,Experiment_Name,Method,Score_Type,B_add,gamma,tau_dom,Time_sec,Iter_1_Energy,Iter_1_Error,Iter_2_Energy,Iter_2_Error,Iter_3_Energy,Iter_3_Error,Iter_4_Energy,Iter_4_Error,Iter_5_Energy,Iter_5_Error,Iter_6_Energy,Iter_6_Error,Iter_7_Energy,Iter_7_Error,Iter_8_Energy,Iter_8_Error,Iter_9_Energy,Iter_9_Error,Iter_10_Energy,Iter_10_Error,Iter_11_Energy,Iter_11_Error,Iter_12_Energy,Iter_12_Error,Iter_13_Energy,Iter_13_Error,Iter_14_Energy,Iter_14_Error,Iter_15_Energy,Iter_15_Error,Iter_16_Energy,Iter_16_Error,Iter_17_Energy,Iter_17_Error,Iter_18_Energy,Iter_18_Error,Iter_19_Energy,Iter_19_Error,Iter_20_Energy,Iter_20_Error
pb4,run01.json,B_add_1200,AS-SQD,ABC,1200,1.0,0.001,61.752280950546265,-7848.523793160202,1.5077400350746757,-7849.299023731427,0.732509463849965,-7849.408653213769,0.6228799815080492,-7849.503964479559,0.5275687157181892,-7850.028095206801,0.003437988476434839,-7850.031382599496,0.00015059578072396107,-7850.031455764211,7.743106561974855e-05,-7850.03152848559,4.709687345894054e-06,-7850.03152848559,4.709687345894054e-06,-7850.03152848559,4.709687345894054e-06,-7850.03152848559,4.709687345894054e-06,-7850.03152848559,4.709687345894054e-06,-7850.03152848559,4.709687345894054e-06,-7850.03152848559,4.709687345894054e-06,-7850.03152848559,4.709687345894054e-06,-7850.03152848559,4.709687345894054e-06,-7850.03152848559,4.709687345894054e-06,-7850.03152848559,4.709687345894054e-06,-7850.03152848559,4.709687345894054e-06,-7850.03152848559,4.709687345894054e-06
pb4,run01.json,B_add_200,AS-SQD,ABC,200,1.0,0.001,24.451600790023804,-7848.523793160202,1.5077400350746757,-7848.690473727446,1.3410594678307461,-7849.423462559473,0.6080706358043244,-7850.023320580286,0.008212614990952716,-7850.0282698036135,0.0032633916634949856,-7850.030049010017,0.001484185259869264,-7850.031198798148,0.0003343971293361392,-7850.031210702858,0.0003224924194000778,-7850.031230687937,0.00030250734016590286,-7850.031240606015,0.0002925892622442916,-7850.031254062829,0.0002791324477584567,-7850.031271685564,0.0002615097128000343,-7850.031303522008,0.00022967326913203578,-7850.031319858907,0.00021333636959752766,-7850.031356324706,0.00017687057061266387,-7850.031390702845,0.00014249243213271257,-7850.031423626716,0.00010956856112898095,-7850.031455153572,7.80417049099924e-05,-7850.031487142511,4.60527662653476e-05,-7850.031528312792,4.8824849727679975e-06
pb4,run01.json,Proposed_Baseline(ABC),AS-SQD,ABC,600,1.0,0.001,38.04381489753723,-7848.523793160202,1.5077400350746757,-7849.229553146999,0.8019800482779829,-7849.413365948802,0.6181672464754229,-7850.02528162922,0.006251566056562297,-7850.031209964417,0.00032323085997632006,-7850.031239842619,0.00029335265844565583,-7850.031280068975,0.0002531263016862795,-7850.031376344385,0.0001568508923810441,-7850.031510999613,2.2195664314494934e-05,-7850.031528117895,5.077382411400322e-06,-7850.031528117895,5.077382411400322e-06,-7850.031528117895,5.077382411400322e-06,-7850.031528117895,5.077382411400322e-06,-7850.031528117895,5.077382411400322e-06,-7850.031528117895,5.077382411400322e-06,-7850.031528117895,5.077382411400322e-06,-7850.031528117895,5.077382411400322e-06,-7850.031528117895,5.077382411400322e-06,-7850.031528117895,5.077382411400322e-06,-7850.031528117895,5.077382411400322e-06
pb4,run01.json,Score_A,AS-SQD,A,600,1.0,0.001,38.98621106147766,-7848.523793160202,1.5077400350746757,-7849.230047354202,0.8014858410751913,-7849.414738857215,0.616794338062391,-7850.025959147904,0.005574047372647328,-7850.031222963649,0.00031023162773635704,-7850.031256586568,0.00027660870910040103,-7850.031305433238,0.00022776203877583612,-7850.031382362478,0.0001508327986812219,-7850.031522219153,1.0976124031003565e-05,-7850.031528118923,5.076353772892617e-06,-7850.031528118923,5.076353772892617e-06,-7850.031528118923,5.076353772892617e-06,-7850.031528118923,5.076353772892617e-06,-7850.031528118923,5.076353772892617e-06,-7850.031528118923,5.076353772892617e-06,-7850.031528118923,5.076353772892617e-06,-7850.031528118923,5.076353772892617e-06,-7850.031528118923,5.076353772892617e-06,-7850.031528118923,5.076353772892617e-06,-7850.031528118923,5.076353772892617e-06
pb4,run01.json,Score_AB,AS-SQD,AB,600,1.0,0.001,37.363109827041626,-7848.523793160202,1.5077400350746757,-7849.229554178769,0.8019790165080849,-7849.413356309085,0.6181768861915771,-7850.025281565513,0.006251629763937672,-7850.031209865561,0.00032332971568393987,-7850.031239756924,0.0002934383528554463,-7850.031280018889,0.0002531763875595061,-7850.031375848429,0.0001573468480273732,-7850.0315110736965,2.2121580514067318e-05,-7850.031528192005,5.003272235626355e-06,-7850.031528192005,5.003272235626355e-06,-7850.031528192005,5.003272235626355e-06,-7850.031528192005,5.003272235626355e-06,-7850.031528192005,5.003272235626355e-06,-7850.031528192005,5.003272235626355e-06,-7850.031528192005,5.003272235626355e-06,-7850.031528192005,5.003272235626355e-06,-7850.031528192005,5.003272235626355e-06,-7850.031528192005,5.003272235626355e-06,-7850.031528192005,5.003272235626355e-06
pb4,run01.json,Score_AC,AS-SQD,AC,600,1.0,0.001,50.153728008270264,-7848.523793160202,1.5077400350746757,-7849.230047354202,0.8014858410751913,-7849.407039798192,0.6244933970847342,-7850.026025176191,0.005508019085937121,-7850.0312281537545,0.000305041522551619,-7850.031259473061,0.00027372221575205913,-7850.031307703411,0.00022549186633114005,-7850.031383372691,0.00014982258562667994,-7850.031528109748,5.085528755444102e-06,-7850.031528109748,5.085528755444102e-06,-7850.031528109748,5.085528755444102e-06,-7850.031528109748,5.085528755444102e-06,-7850.031528109748,5.085528755444102e-06,-7850.031528109748,5.085528755444102e-06,-7850.031528109748,5.085528755444102e-06,-7850.031528109748,5.085528755444102e-06,-7850.031528109748,5.085528755444102e-06,-7850.031528109748,5.085528755444102e-06,-7850.031528109748,5.085528755444102e-06,-7850.031528109748,5.085528755444102e-06
pb4,run01.json,Score_B,AS-SQD,B,600,1.0,0.001,141.19395399093628,-7848.523793160202,1.5077400350746757,-7849.298678924644,0.7328542706327426,-7849.299193261775,0.7323399335018621,-7849.301542622915,0.7299905723621123,-7849.333703866974,0.6978293283027597,-7849.333594876242,0.6979383190346198,-7849.366280097169,0.6652530981082236,-7849.367857593719,0.6636756015577703,-7849.386659440631,0.6448737546461416,-7849.387424473276,0.6441087220009649,-7849.388537333225,0.6429958620519756,-7849.400267719819,0.6312654754583491,-7849.400512536005,0.6310206592715986,-7849.4008641852115,0.6306690100655032,-7849.400973874684,0.6305593205934201,-7849.401352002789,0.6301811924877256,-7849.401384468634,0.6301487266428012,-7849.410925945662,0.6206072496152046,-7849.411506838197,0.6200263570799507,-7849.411779538055,0.6197536572217359
pb4,run01.json,Score_BC,AS-SQD,BC,600,1.0,0.001,137.40995001792908,-7848.523793160202,1.5077400350746757,-7849.298646627879,0.7328865673980545,-7849.299260821999,0.7322723732777376,-7849.301469306956,0.7300638883207284,-7849.333647084913,0.6978861103643794,-7849.333347886072,0.6981853092047459,-7849.366257946087,0.6652752491900173,-7849.367834122242,0.6636990730348771,-7849.386659440463,0.6448737548143981,-7849.387424473101,0.6441087221755879,-7849.388537333054,0.6429958622229606,-7849.4002679896785,0.6312652055985382,-7849.400512535636,0.6310206596408534,-7849.400864226894,0.6306689683833611,-7849.40097387449,0.6305593207871425,-7849.401351949295,0.630181245982385,-7849.401384510791,0.6301486844859028,-7849.410926322803,0.6206068724741272,-7849.41150783871,0.6200253565666571,-7849.41178016766,0.6197530276167527
pb4,run01.json,Score_C,AS-SQD,C,600,1.0,0.001,33.459121227264404,-7848.523793160202,1.5077400350746757,-7850.024366735949,0.0071664593278910615,-7850.031276599049,0.0002565962277003564,-7850.031353084856,0.0001801104208425386,-7850.03144950417,8.36911067381152e-05,-7850.031517221336,1.5973941117408685e-05,-7850.031526524775,6.670502443739679e-06,-7850.031528169639,5.025637619837653e-06,-7850.031528169639,5.025637619837653e-06,-7850.031528169639,5.025637619837653e-06,-7850.031528169639,5.025637619837653e-06,-7850.031528169639,5.025637619837653e-06,-7850.031528169639,5.025637619837653e-06,-7850.031528169639,5.025637619837653e-06,-7850.031528169639,5.025637619837653e-06,-7850.031528169639,5.025637619837653e-06,-7850.031528169639,5.025637619837653e-06,-7850.031528169639,5.025637619837653e-06,-7850.031528169639,5.025637619837653e-06,-7850.031528169639,5.025637619837653e-06
pb4,run01.json,Standard_SQD,Standard_SQD,N/A,N/A,N/A,N/A,17.631996154785156,-7850.024775872502,0.006757322775229113,-7850.028769131787,0.0027640634898489225,-7850.029757674116,0.0017755211611074628,-7850.030695585443,0.0008376098339795135,-7850.031092027844,0.00044116743265476543,-7850.031210300446,0.0003228948307878454,-7850.031216326879,0.00031686839793110266,-7850.031235518701,0.0002976765763378353,-7850.031246887703,0.00028630757424252806,-7850.031263561886,0.00026963339132635156,-7850.031273327143,0.0002598681339804898,-7850.03129691391,0.00023628136659681331,-7850.031309325279,0.00022386999808077235,-7850.031309325279,0.00022386999808077235,-7850.031309325279,0.00022386999808077235,-7850.031309325279,0.00022386999808077235,-7850.031309325279,0.00022386999808077235,-7850.031309325279,0.00022386999808077235,-7850.031309325279,0.00022386999808077235,-7850.031309325279,0.00022386999808077235
pb4,run01.json,gamma_0.1,AS-SQD,ABC,600,0.1,0.001,38.62460708618164,-7848.523793160202,1.5077400350746757,-7849.2299271842585,0.8016060110185208,-7849.407039798192,0.6244933970847342,-7850.026024943235,0.005508252042091044,-7850.0312281537545,0.000305041522551619,-7850.031259473061,0.00027372221575205913,-7850.031307703411,0.00022549186633114005,-7850.031382921899,0.0001502733775851084,-7850.031528109748,5.085528755444102e-06,-7850.031528109748,5.085528755444102e-06,-7850.031528109748,5.085528755444102e-06,-7850.031528109748,5.085528755444102e-06,-7850.031528109748,5.085528755444102e-06,-7850.031528109748,5.085528755444102e-06,-7850.031528109748,5.085528755444102e-06,-7850.031528109748,5.085528755444102e-06,-7850.031528109748,5.085528755444102e-06,-7850.031528109748,5.085528755444102e-06,-7850.031528109748,5.085528755444102e-06,-7850.031528109748,5.085528755444102e-06
pb4,run01.json,gamma_5.0,AS-SQD,ABC,600,5.0,0.001,66.51451325416565,-7848.523793160202,1.5077400350746757,-7849.2295198534,0.8020133418767728,-7849.372943377526,0.658589817750908,-7849.407176708555,0.6243564867218083,-7849.409491960819,0.6220412344582655,-7849.409957888511,0.6215753067663172,-7849.410265298699,0.6212678965775922,-7850.023989908343,0.007543286934378557,-7850.030483773754,0.0010494215230210102,-7850.031325072034,0.00020812324328289833,-7850.0313440399295,0.00018915534747065976,-7850.0314026238275,0.00013057144951744704,-7850.031510081854,2.311342268512817e-05,-7850.031528352334,4.842942871619016e-06,-7850.031528352334,4.842942871619016e-06,-7850.031528352334,4.842942871619016e-06,-7850.031528352334,4.842942871619016e-06,-7850.031528352334,4.842942871619016e-06,-7850.031528352334,4.842942871619016e-06,-7850.031528352334,4.842942871619016e-06
pb4,run01.json,tau_dom_0.0001,AS-SQD,ABC,600,1.0,0.0001,46.846354246139526,-7848.523793160202,1.5077400350746757,-7849.229553146999,0.8019800482779829,-7849.413365948802,0.6181672464754229,-7850.025392136472,0.006141058805042121,-7850.031210944462,0.0003222508148610359,-7850.031240237283,0.0002929579941337579,-7850.031269214032,0.0002639812446432188,-7850.031306638822,0.0002265564553454169,-7850.031344903348,0.00018829192867997335,-7850.031397256667,0.00013593860967375804,-7850.031448856014,8.433926268480718e-05,-7850.031462221231,7.097404613887193e-05,-7850.03149526232,3.793295672949171e-05,-7850.031497646218,3.5549059248296544e-05,-7850.03149978232,3.341295723657822e-05,-7850.031500455201,3.274007576692384e-05,-7850.031515589837,1.7605440007173456e-05,-7850.031517839884,1.5355392861238215e-05,-7850.0315188881195,1.4307157471193932e-05,-7850.031520414096,1.2781180885212962e-05
pb4,run01.json,tau_dom_0.01,AS-SQD,ABC,600,1.0,0.01,37.3847451210022,-7848.523793160202,1.5077400350746757,-7849.229554178769,0.8019790165080849,-7849.413368812892,0.618164382384748,-7850.025278924622,0.006254270654608263,-7850.0312065735025,0.00032662177454767516,-7850.0312390717745,0.0002941235024991329,-7850.031280093501,0.00025310177625215147,-7850.031376034613,0.00015716066445747856,-7850.031511078305,2.2116972104413435e-05,-7850.031528196616,4.998661097488366e-06,-7850.031528196616,4.998661097488366e-06,-7850.031528196616,4.998661097488366e-06,-7850.031528196616,4.998661097488366e-06,-7850.031528196616,4.998661097488366e-06,-7850.031528196616,4.998661097488366e-06,-7850.031528196616,4.998661097488366e-06,-7850.031528196616,4.998661097488366e-06,-7850.031528196616,4.998661097488366e-06,-7850.031528196616,4.998661097488366e-06,-7850.031528196616,4.998661097488366e-06
pb4,run02.json,B_add_1200,AS-SQD,ABC,1200,1.0,0.001,49.03313112258911,-7848.528024601142,1.5035085941353827,-7849.3138065524145,0.7177266428625444,-7850.024805244406,0.006727950871209032,-7850.031300893031,0.0002323022463315283,-7850.0313868093945,0.00014638588254456408,-7850.0315285025845,4.692692527896725e-06,-7850.0315285025845,4.692692527896725e-06,-7850.0315285025845,4.692692527896725e-06,-7850.0315285025845,4.692692527896725e-06,-7850.0315285025845,4.692692527896725e-06,-7850.0315285025845,4.692692527896725e-06,-7850.0315285025845,4.692692527896725e-06,-7850.0315285025845,4.692692527896725e-06,-7850.0315285025845,4.692692527896725e-06,-7850.0315285025845,4.692692527896725e-06,-7850.0315285025845,4.692692527896725e-06,-7850.0315285025845,4.692692527896725e-06,-7850.0315285025845,4.692692527896725e-06,-7850.0315285025845,4.692692527896725e-06,-7850.0315285025845,4.692692527896725e-06
